0	Iranian female athletes refugees
2	How climate change affects Russia
3	The melamine scandal in China
4	Corruption during construction of Vostochny Cosmodrome
5	Danger of Betelgeuse going supernova
6	Dramatic surges in butterfly populations
7	Bicycles on trains
8	Media report in China on Biden's election of the president
9	The effect of pandemic online learning on children
10	Sanctions impact Russian agriculture
11	China's attitudes toward the U.S. withdrawal from the Paris Climate Accords
12	China's economy under the Coronavirus
13	Intellectual property disputes Tesla encountered in China
14	"Israeli series ""Tehran"" "
16	Dramatic decrease in number of bees
17	The impact of Chengdu Research Base of Giant Panda Breeding on local tourism
18	The situation of myopia rate among K12 students in China
19	Cases of formaldehyde related pollution in household products
20	Are AIDS patients discriminated against in China
21	Sanctions on export of titanium from Russia to U.S.
22	COVID vaccinations for children in Russia
23	Black hole in M87
24	Wind energy in Russia
25	Russian dependance on Chinese 5G equipment
26	Ukrainian Presidential Candidate Zelenskiy
27	What species are endangered in the Yangtze due to pollution
28	Identifying the Ukok Princess
29	China's sponge city projects
30	Refugee crisis divides Europe
31	Use of Teflon as potential health risk
32	Peanut allergy treatment
33	The effects of climate change on Iran's current weather
34	Shamanism in Siberia
35	Drought in southwestern U.S.
36	Size of Siberian tiger population
37	Arctic warming
38	The impact of the trade war between the US and China on China's export to the US
39	The connection between the extraction of bitcoin cryptocurrencies by the Chinese and power outages in Iran
40	Most effective weight loss methods
41	Iranian soccer national team victory since 2016
42	Increase of house prices in Iran
43	Improving living conditions in the Russian Arctic
44	Russian wheat harvest over past decade
45	Endangered animals in China
46	North Korean rocket launch Haiphon-12
47	Meghan Markle's accusations of racism in Oprah Winfrey interview
48	The impact of the Three Gorges Project on Yangtze River ecosystem and relevant monitoring
49	Navalny's presidential run attempt
50	The number of Chinese sturgeon in Yangtze River
52	Tourism in Beijing under the Covid-19 pandemic
53	Tengrism in Central Asia and Mongolia
54	Special COVID hospitals in Russia
55	Xinhua News Agency's report on China-India border conflict
56	Extreme weather in Russia
57	Train crashes in Iran
58	Conservation measures for cultural relics of Mogao Caves in Dunhuang
59	What foods increase irritability or anger
61	Open Semantic Technologies for Intelligent Systems
62	Does Khamenei defend gasoline price hike
64	Why did Trump order the assassination of Qasem Soleimani
65	Predict volcanic eruption
66	COVID-19 vaccination rate in China
67	Reasons people become virtual streamers
68	How dark matter is detected
70	Health risks of e-cigarettes
71	Bill Gates' charity work
72	Playing games could effectively prevent dementia
73	Internet cut off during the anti-government protests in November 2019 in Iran
74	Irani-Azerbaijani economic relations
75	Impact of Australian bushfires on wildlife
76	China's local standards in its standard system
77	Vegetables high in calcium
79	Accident rates for self-driving vehicles
80	Did Boeing hide the faults of the 737 Max aircraft
83	Karaites in Lithuania
84	Aging population in Shanghai
86	Iran and Turkish economical relationship over the years
90	Effect of black tea in Iran
92	Being vegan in Iran
93	Recall on chicken products
94	Diseases treated using gene editing
96	The impact of Hong Kong protests on tourism
97	Art by artificial intelligence
98	Population negative growth and marriage rate
99	Saturn's hexagon
100	Alibaba layoffs
101	USA's reverse repo
102	The impact of climate change on the living environment of polar bears
103	Applications of artificial intelligence in agriculture
104	Honor killing In Iran
105	"The so-called ""Arab Shield"" military exercise in Egypt"
106	DNA proof of Native American - Siberian connections
107	Tank development in Russia
108	Tornado in Alabama
109	Researching dead zones
110	Coca Cola in India
111	Mycorrhizal studies in agriculture
114	Amazon labor union
115	Illegal gold mining along the Amazon River
116	Transgender Treatment in Russia
117	Sending billions of dollars in cash to Iran by the United States
118	Arbitrary detention of foreigners and Iranian dual nationals by Iran
123	Iran produces Barekat vaccine
125	Conviction of Iran to pay compensation to the survivors of 9/11
126	Greta Thunberg's speech at UN
128	Cat cloning
129	Buddhas of Bamiyan
130	Hawaii Kīlauea
131	Poacher arrests
132	First helicopter on Mars
133	Whale stranding
134	Digital Yuan and USD
135	Cactus smuggling
136	North Korea launches ICBM over Hokkaido
