0	بانوان ورزشکار ایرانی پناهنده
2	چگونه تغییراقلیم روسیه را تحت تاثیر قرار می دهد
3	رسوایی ملامین در چین
4	فساد در حین ساخت و ساز پایگاه فضایی وستوچنی
5	خطر تبدیل شدن ستاره «بتلژوز» به ابرنواختر
6	افزایش چشمگیر جمعیت پروانه ها
7	آوردن دوچرخه در قطار
8	گزارش در رسانه ها  در چین از انتخاب بایدن به عنوان رئیس جمهور 
9	تأثیراموزش مجازی در همه گیری کرونا بر کودکان
10	تحریم ها بر کشاورزی روسیه تأثیر می گذارد
11	موضع چین نسبت به خروج ایالات متحده از توافقنامه آب و هوایی (اقلیمی) پاریس
12	اقتصاد چین تحت تاثیر ویروس کرونا
13	اختلاف برسرِحقوق مالکیت معنوی تسلا در چین
14	"سریال تلویزیونی اسرائیلی ""تهران"""
16	کاهش چشمگیر تعداد زنبورهای 
17	تاثیر پایگاه تحقیقاتی پرورش پاندای غول پیکر چنگدو بر گردشگری محلی
18	وضعیت نرخ نزدیک بینی در میان دانش آموزانِ مدارس در چین
19	اخبار مرتبط با آلودگی فرمالین (فرمالدهید) در محصولات خانگی در چین
20	آیا بیماران ایدز در چین در معرض تبعیض هستند؟
21	تحریم صادرات تیتانیوم از روسیه به ایالات متحده
22	واکسن ویروس کرونا برای کودکان در روسیه
23	سیاه چاله در ام ۸۷
24	انرژی بادی در روسیه
25	وابستگی روسیه به تجهیزات ۵جی چین
26	زلنسکی نامزد ریاست جمهوری اوکراین
27	چه گونه هایی از موجودات دررودخانه ی یانگ تسه به دلیل آلودگی در خطر انقراض هستند؟
28	شناسایی شاهزاده خانم اوکوک
29	پروژه های شهر اسفنجی چین
30	بحران پناهجویان اروپا را از هم جدا کرده است.
31	خطرات احتمالی استفاده از تفلون برای سلامتی
32	درمان حساسیت به بادام زمینی
33	اثرات تغییر اقلیم بر آب و هوای کنونی ایران
34	شمنیسم ( شمن باوری) در سیبری
35	خشکسالی در جنوب غربی ایالات متحده
36	اندازه جمعیت ببر سیبری
37	گرم شدن قطب شمال
38	تأثیرجنگ تجاری بین آمریکا و چین بر سر صادرات چین به آمریکا
39	ارتباط بین استخراج ارزهای دیجیتال بیت کوین توسط چینی ها و قطع برق در ایران
40	موثرترین روش های کاهش وزن
