0	Я ищу статьи об иранских спортсменках, которые ищут убежища в других странах.
2	Я ищу статьи, в которых описывается, как изменение климата влияет на Россию, либо в сфере экологии, экономики, здоровья человека либо национальной безопасности.
3	Ищу статьи о людях, которые предстали перед уголовным судом в связи со скандалом с меламином в Китае.
4	Я ищу статьи о должностных лицах, осужденных за коррупцию при строительстве Российского космического стартового комплекса в Восточном на Дальнем Востоке.
5	Я ищу сообщения о том, будет ли звезда Бетельгейзе, превращающаяся в сверхновую, представлять угрозу земле или нет..
6	Я ищу информацию о большом, внезапном и резком увеличении популяций бабочек в Европе, включая Кавказ.
7	Я ищу информацию о провозе велосипедов в поездах местного или дальнего следования.
8	Я ищу статьи из китайских СМИ, которые сообщают о триумфе Джо Байдена на президентских выборах в Соединенных Штатах.
9	Привело ли онлайн-обучение во время пандемии коронавируса к росту депрессии среди младших школьников?
10	Я ищу статьи о том, как санкции против России повлияли на сельскохозяйственный отрасль.
11	Я ищу статьи, в которых сообщается об официальной позиции Китая в отношении выхода США из Парижских соглашений по климату.
12	Я ищу статьи, в которых сообщается о том, как экономика Китая может противостоять пандемии коронавируса.
13	Ищу статьи о спорах об интеллектуальной собственности, с которыми Тесла столкнулся в Китае.
14	"Я ищу реакции иранцев и иранских СМИ, которые связаны с израильским телесериалом ""Тегеран""."
16	Я ищу статьи о резком уменьшении количества пчел и ульев.
17	Я ищу статьи, в которых сообщается о влиянии, которое Исследовательская база по разведению гигантских панд в Чэнду оказала на местную индустрию туризма.
18	Мне интересно найти информацию о ситуации с миопию среди школьников K12 в Китае.
19	Мне интересно найти информацию о случаях загрязнения, связанных с формальдегидом в бытовых изделиях в Китае.
20	Мне интересоваться в том, чтобы выяснить, подвергаются ли больных СПИДом дискриминации в Китае.
21	Я ищу информацию о вопросах, связанных с санкциями, которые касаются экспорта титана из России в США.
22	Я ищу информацию о прививках от коронавируса для детей в России.
23	Я ищу статьи о черной дыре в центре галактики М87.
24	Я ищу статьи о росте ветроэнергетики в России
25	Попытка Китая завоевать российский рынок 5G должна беспокоить Кремль.
26	Ищу статьи, которые отражают отношение России к Украинскому Президентскому Кандидату Владимиру Зеленскому.
27	Мне интересно выяснить, какие виды дикой природы находятся под угрозой исчезновения из-за загрязнения воды в реке Янцзы и бассейне реки.
28	Ищу статьи с подробными доказательствами, чтобы идентифицировать 2,5-тысячелетнюю мумию, известную как принцесса Укок.
29	Мне интересуюсь найти информации о проектах строительства губчатого города в Китае.
30	Ищу статьи, которые объясняют, как кризис с беженцами может разделить Европу.
31	Я ищу статьи, демонстрирующие, что использование тефлона может представлять потенциальный риск для здоровья.
32	Ищу статьи о лечении или методах уменьшения аллергической реакции на арахис.
33	Как изменение климата повлияло на нынешние погодные условия Ирана
34	Ищу информацию о шаманизме в Сибири.
35	Я ищу информацию о продолжающейся засухе на юго-западе Соединенных Штатов.
36	Я ищу статьи о размере популяции амурских тигров.
37	Ищу статьи о том, почему Арктика нагревается быстрее, чем другие регионы Земли.
38	Интерестно узнать влияние торговой войны между США и Китаем на китайский экспорт в США.
39	Ищу связь между минированием биткойнов Китайцами и отключениями электроэнергии в Иране.
40	Ищу статьи о самых эффективных способах похудеть
41	Ищу количество победителей и побед сборной Ирана по футболу за годы на международном уровне с 2016 года.
42	Как изменение цен на жилье повлияло на иранцев.
43	Ищу информацию о планах улучшения условий жизни в российской Арктике.
44	Меня интересует сколько пшеницы Россия произвела за каждый год последнего десятилетия.
45	Я ищу статьи, в которых рассказывается о конкретных животных, находящихся под угрозой исчезновения в Китае.
46	"Подтвержденные сообщения о запуске Северной Кореей ракеты ""Хайфон-12""."
47	Меган Маркл обвинила британскую королевскую семью в расизме в интервью с Опрой Уинфри
48	Мне интересно найти статьи о воздействии проекта «Три Ущелья» на экосистему реки Янцзы и о соответствующие меры мониторинга применяются.
49	Ищу статьи, в которых описывается попытка лидера оппозиции Алексея Навального баллотироваться в президенты в 2018 году и любая связанная с этим стратегия
50	Мне интересно найти статьи, в которых указано количество китайского осетра в реке Янцзы.
52	Мне интересно найти информацию о туристической индустрии в Пекине в условиях пандемии коронавируса.
53	Я ищу статьи о религии тенгрианства в Центральной Азии и Монголии.
54	Я ищу статьи о больницах, специализирующихся исключительно на лечении лиц, инфицированных коронавируса.
55	Меня интересуют статьи, в которых информационное агентство Синьхуа освещает конфликт на китайско-индийской границе.
56	Я ищу отчеты об экстремальных погодных условиях в России.
57	Я ищу информацию о крушениях поездов в Иране.
58	Мне интересно найти статьи о мерах и методах сохранения культурных реликвий пещер Могао.
59	Я ищу пищу, которую может вызывать у человека проблемы с злостях.
61	Ищу статьи о Открытые семантические технологии проектирования интеллектуальных систем конференция 2018.
62	Защищает ли верховный лидер Ирана Али Хаменеи повышение цен на бензин в Иране
64	По каким причинам, по словам президента Трампа, он отдал приказ об убийстве командующего КСИР Касема Сулеймани?
65	Я ищу научные методы для предсказания извержения вулкана.
66	Мне интересно найти статьи, в которых содержится информация о количестве вакцинации от коронавируса в Китае
67	Я ищу причины, по которым стримеры используют аватар, когда они в Сети.
68	Я ищу информацию о методах или оборудовании, используемых для обнаружения темной материи.
70	Я заинтересован в поиске статей о рисках для здоровья, связанных с электронными сигаретами.
71	я ищу информацию о благотворительной деятельности, в которой участвует Билл Гейтс
72	Я ищу статьи о положительной корреляции игр, которые могут предотвратить или отсрочить начало деменции
73	Я ищу причину и последствия отключения интернета в Иране во время антиправительственных протестов в ноябре 2019 года.
74	Я ищу статьи, которые описывают Ирано-Азербайджанские экономические и торговые отношения.
75	Ищу статьи, описывающие влияние лесных пожаров в Австралии на дикую природу.
76	Мне интересно найти статьи, содержащие информацию о местных стандартах Китая в системе стандартов страны.
77	Мне интересно найти статьи, в которых представлены овощи с высоким содержанием кальция.
79	Я ищу статьи, в которых описывается вероятность участия беспилотных автомобилей в дорожно-транспортных происшествиях.
80	"Скрыл ли Boeing неисправности самолета ""737 max,"" из-за которых два самолета разбились в Индонезии и Эфиопии"
83	Я ищу информацию о караимах в Литве
84	Я ищу статьи, рассказывающие о старении населения в Шанхае.
86	Я ищу статьи, объясняющие экономические отношения между Ираном и Турцией на протяжении многих лет.
90	Я ищу статьи о культуре черного чая и обо всем, что связано с ним в Иране.
92	Я ищу способы быть веганом в Иране и как это выглядит.
93	Я ищу статьи об отзывах куриных продуктов
94	Я ищу статьи, в которых обсуждаются заболевания, которые лечатся с помощью редактирования генов
96	Я ищу статьи, которые описывают влияние, которое протесты в Гонконге, начиная с 2019 года, оказали на туристическую индустрию.
97	Ищу статьи об искусственном интеллекте, создающем произведения искусства.
98	Я ищу статьи о снижении численности населения в связи со снижением уровня брачности.
99	Я ищу информацию о шестиугольнике Сатурна
100	Ищу статьи об увольнениях в Алибаба. 
101	Я ищу статьи, в которых сообщается о программе однодневного обратного репо США Федеральной резервной системой.
102	Меня интересуют статьи, посвященные влиянию изменения климата на среду обитания белых медведей.
103	Я ищу статьи о том, как искусственный интеллект применяется в сельском хозяйстве.
104	Я ищу отчеты, факты, анализы и ответы правительства относительно убийств чести и табу патриархального общества в Иране.
105	Я ищу статьи с подробностями о военных учениях под названием «Арабский щит» в Египте и их цели
106	Я ищу статьи о ДНК, доказывающие связь между коренными американцами и сибирскими народами.
107	Я ищу статьи о разработке российских танков после окончания холодной войны.
108	Я ищу сообщения о торнадо в Алабаме
109	Я ищу статьи, исследующие зоны в океане, лишенные кислорода и океанской жизни.
110	Я ищу статьи о деятельности Кока-кола в Индии. Меня интересуют как положительные, так и отрицательные отзывы.
111	Ищу статьи, которые рассказывают об исследованиях роли микоризных грибов в сельском хозяйстве.
114	Я ищу статьи, связанные с созданием профсоюза на Амазон.
115	Я ищу статьи, сообщающие о незаконной добыче золота вдоль реки Амазонки
116	Ищу статьи, которых описывают как относятся к трансгендерам в России.
117	Я ищу статьи, связанные с подробностями о миллиардах долларов наличными, которые были отправлены в Иран Соединенными Штатами.
118	Я ищу статьи, сообщающие о произвольном задержании Ираном иностранцев и иранских граждан с двойным гражданством.
123	"Я ищу статьи, в которых обсуждается местное производство Ираном вакцины ""Колвран Берекат"" от коронавируса"
125	Ищу статьи, связанные с осуждением Ирана к выплате компенсаций выжившим после 11 сентября.
126	Грета Тунберг выступает на климатическом саммите Организации Объединенных Наций 23 сентября 2019 года
128	Ищу статьи о клонировании кошек
129	Ищу статьи о Буддах в Бамиане
130	Я ищу отчеты о материальном ущербе, причиненном извержением вулкана Килауэа
131	Ищу сообщений о поимке или аресте браконьера
132	Я ищу статьи, описывающие первый полет вертолета НАСА на Марс.
133	Я ищу статьи о выбрасывании китов на берег
134	Меня интересуют статьи, в которых сообщается о внедрении цифрового юаня, а также о любом потенциальном изменении или влиянии на доллар США.
135	Ищу статьи о контрабанде кактусов
136	Северная Корея впервые рас запустила МБР над Хоккайдо
