0	Я ищу статьи об иранских спортсменках, которые ищут убежища в других странах. Иранские женские спорт-беженцы
2	Я ищу статьи, в которых описывается, как изменение климата влияет на Россию, либо в сфере экологии, экономики, здоровья человека либо национальной безопасности. Как изменение климата влияет на Россию
3	Ищу статьи о людях, которые предстали перед уголовным судом в связи со скандалом с меламином в Китае. Меламиновый Скандал в Китае
4	Я ищу статьи о должностных лицах, осужденных за коррупцию при строительстве Российского космического стартового комплекса в Восточном на Дальнем Востоке. Коррупция при строительстве Космодрома Восточный
5	Я ищу сообщения о том, будет ли звезда Бетельгейзе, превращающаяся в сверхновую, представлять угрозу земле или нет.. Опасность превращения Бетельгейзе в сверхновую
6	Я ищу информацию о большом, внезапном и резком увеличении популяций бабочек в Европе, включая Кавказ. существенный всплески популяций бабочек
7	Я ищу информацию о провозе велосипедов в поездах местного или дальнего следования. Велосипеды в поездах
8	Я ищу статьи из китайских СМИ, которые сообщают о триумфе Джо Байдена на президентских выборах в Соединенных Штатах. Статьи китайских СМИ, сообщающие об избрании Байдена президентом
9	Привело ли онлайн-обучение во время пандемии коронавируса к росту депрессии среди младших школьников? Влияние Пандемии Онлайн-обучения на Детей
10	Я ищу статьи о том, как санкции против России повлияли на сельскохозяйственный отрасль. Воздействие санкций на российское сельское хозяйство
11	Я ищу статьи, в которых сообщается об официальной позиции Китая в отношении выхода США из Парижских соглашений по климату. Отношение Китая к выходу США из Парижского Соглашения по Климату
12	Я ищу статьи, в которых сообщается о том, как экономика Китая может противостоять пандемии коронавируса. Экономика Китая во время коронавируса
13	Ищу статьи о спорах об интеллектуальной собственности, с которыми Тесла столкнулся в Китае. Споры об Интеллектуальной Собственности, с которыми Tesla Столкнулась в Китае
14	"Я ищу реакции иранцев и иранских СМИ, которые связаны с израильским телесериалом ""Тегеран"". Израильский сериал ""Тегеран"""
16	Я ищу статьи о резком уменьшении количества пчел и ульев. Резкое сокращение количества пчел
17	Я ищу статьи, в которых сообщается о влиянии, которое Исследовательская база по разведению гигантских панд в Чэнду оказала на местную индустрию туризма. Влияние исследовательской базы по разведению гигантских панд в Чэнду на местный туризм
18	Мне интересно найти информацию о ситуации с миопию среди школьников K12 в Китае. Ситуация с миопию среди школьников K12 в Китае
19	Мне интересно найти информацию о случаях загрязнения, связанных с формальдегидом в бытовых изделиях в Китае. Случаи загрязнения формальдегидом бытовых изделий
20	Мне интересоваться в том, чтобы выяснить, подвергаются ли больных СПИДом дискриминации в Китае. Дискриминируют ли больных СПИДом в Китае?
21	Я ищу информацию о вопросах, связанных с санкциями, которые касаются экспорта титана из России в США. Санкции на экспорт титана из России в США
22	Я ищу информацию о прививках от коронавируса для детей в России. Прививки от коронавируса для детей в России
23	Я ищу статьи о черной дыре в центре галактики М87. Черная дыра в M87
24	Я ищу статьи о росте ветроэнергетики в России Энергия ветра в России
25	Попытка Китая завоевать российский рынок 5G должна беспокоить Кремль. Зависимость России от китайского оборудования 5G
26	Ищу статьи, которые отражают отношение России к Украинскому Президентскому Кандидату Владимиру Зеленскому. Украинский Президентский Кандидат Зеленский
27	Мне интересно выяснить, какие виды дикой природы находятся под угрозой исчезновения из-за загрязнения воды в реке Янцзы и бассейне реки. Какие виды дикой природы находятся под угрозой исчезновения в реке Янцзы из-за загрязнения?
28	Ищу статьи с подробными доказательствами, чтобы идентифицировать 2,5-тысячелетнюю мумию, известную как принцесса Укок. Идентификация «принцессы Укока»
29	Мне интересуюсь найти информации о проектах строительства губчатого города в Китае. Проекты губчатых городов Китая
30	Ищу статьи, которые объясняют, как кризис с беженцами может разделить Европу. Европа разделена кризисом из-за беженцев
31	Я ищу статьи, демонстрирующие, что использование тефлона может представлять потенциальный риск для здоровья. Потенциальный риск для здоровья, вызванный использованием тефлона
32	Ищу статьи о лечении или методах уменьшения аллергической реакции на арахис. Лечение аллергии на арахис
33	Как изменение климата повлияло на нынешние погодные условия Ирана Эффект изменения климата на текущую погоду в Иране
34	Ищу информацию о шаманизме в Сибири. Шаманизм в Сибири
35	Я ищу информацию о продолжающейся засухе на юго-западе Соединенных Штатов. Засуха на юго-западе США.
36	Я ищу статьи о размере популяции амурских тигров. Размер популяции амурского тигра
37	Ищу статьи о том, почему Арктика нагревается быстрее, чем другие регионы Земли. Арктическое потепление
38	Интерестно узнать влияние торговой войны между США и Китаем на китайский экспорт в США. Влияние торговой войны между США и Китаем на экспорт Китая в США
39	Ищу связь между минированием биткойнов Китайцами и отключениями электроэнергии в Иране. Связь между минированием криптовалюты биткойн Китайцами и отключением электроэнергии в Иране
40	Ищу статьи о самых эффективных способах похудеть Самые Эффективные Методы Похудения
41	Ищу количество победителей и побед сборной Ирана по футболу за годы на международном уровне с 2016 года. Победа Национальной Сборной Ирана по Футболу с 2016 года
42	Как изменение цен на жилье повлияло на иранцев. Повышение Цен на Дома в Иране
43	Ищу информацию о планах улучшения условий жизни в российской Арктике. улучшение условий жизни в российской Арктике
44	Меня интересует сколько пшеницы Россия произвела за каждый год последнего десятилетия. Урожай пшеницы в России за последнее десятилетие
45	Я ищу статьи, в которых рассказывается о конкретных животных, находящихся под угрозой исчезновения в Китае. Изчузающие животные в Китае
46	"Подтвержденные сообщения о запуске Северной Кореей ракеты ""Хайфон-12"". Северная Корея запускает ракету ""Хайфон-12"""
47	Меган Маркл обвинила британскую королевскую семью в расизме в интервью с Опрой Уинфри Обвинения Меган Маркл в расизме в интервью Опры Уинфри
48	Мне интересно найти статьи о воздействии проекта «Три Ущелья» на экосистему реки Янцзы и о соответствующие меры мониторинга применяются. Воздействие Проекта «Три Ущелья» на экосистему реки Янцзы и соответствующий мониторинг
49	Ищу статьи, в которых описывается попытка лидера оппозиции Алексея Навального баллотироваться в президенты в 2018 году и любая связанная с этим стратегия Попытка Навального баллотироваться в Президенты
50	Мне интересно найти статьи, в которых указано количество китайского осетра в реке Янцзы. Количество Китайского осетра в Реке Янцзы.
52	Мне интересно найти информацию о туристической индустрии в Пекине в условиях пандемии коронавируса. Туризм в Пекине в условиях пандемии коронавируса
53	Я ищу статьи о религии тенгрианства в Центральной Азии и Монголии. Тенгрианство в Средней Азии и Монголии
54	Я ищу статьи о больницах, специализирующихся исключительно на лечении лиц, инфицированных коронавируса. Спецбольницы для коронавируса в России
55	Меня интересуют статьи, в которых информационное агентство Синьхуа освещает конфликт на китайско-индийской границе. Репортаж информационного агентства Синьхуа о конфликте на китайско-индийской границе
56	Я ищу отчеты об экстремальных погодных условиях в России. экстремальные погодные условия в россии
57	Я ищу информацию о крушениях поездов в Иране. Крушение Поезда в Иране
58	Мне интересно найти статьи о мерах и методах сохранения культурных реликвий пещер Могао. Защитные Меры культурных реликвий пещер Могао в Дуньхуане.
59	Я ищу пищу, которую может вызывать у человека проблемы с злостях. Какая пища повышает раздражительность или злость
61	Ищу статьи о Открытые семантические технологии проектирования интеллектуальных систем конференция 2018. Открытые семантические технологии проектирования интеллектуальных систем
62	Защищает ли верховный лидер Ирана Али Хаменеи повышение цен на бензин в Иране Хаменеи защищает повышение цен на бензин
64	По каким причинам, по словам президента Трампа, он отдал приказ об убийстве командующего КСИР Касема Сулеймани? Почему Трамп отдал приказ об убийстве Касема Сулеймани?
65	Я ищу научные методы для предсказания извержения вулкана. Предсказать извержение вулкана
66	Мне интересно найти статьи, в которых содержится информация о количестве вакцинации от коронавируса в Китае Уровень вакцинации от коронавируса в Китае
